ICD9Code,ShortDescription
1255,Cyclodialysis
1289,Other operations on sclera
1298,Other operations on ciliary body
1319,Other intracapsular extraction of lens
1401,Removal of foreign body from posterior segment of eye with use of magnet
144,Repair of retinal detachment with scleral buckling and implant
1459,Other repair of retinal detachment
1511,Recession of one extraocular muscle
1519,Other operations on one extraocular muscle involving temporary detachment from globe
157,Repair of injury of extraocular muscle
1623,Biopsy of eyeball and orbit
1631,Removal of ocular contents with synchronous implant into scleral shell
1649,Other enucleation of eyeball
1651,Exenteration of orbit with removal of adjacent structures
1681,Repair of wound of orbit
1689,Other repair of injury of eyeball or orbit
1691,Retrobulbar injection of therapeutic agent
1811,Otoscopy
1831,Radical excision of lesion of external ear
0833,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis
0884,"Repair of laceration involving lid margin, full-thickness"
0920,"Excision of lacrimal gland, not otherwise specified"
0921,Excision of lesion of lacrimal gland
096,Excision of lacrimal sac and passage
0991,Obliteration of lacrimal punctum
1049,Other conjunctivoplasty
1192,Removal of artificial implant from cornea
127,Other procedures for relief of elevated intraocular pressure
1359,Other extracapsular extraction of lens
1366,Mechanical fragmentation of secondary membrane [after cataract]
149,"Other operations on retina, choroid, and posterior chamber"
15,Operations on extraocular muscles
1601,Orbitotomy with bone flap
1666,Other revision of exenteration cavity
17,Other miscellaneous procedures
1713,"Laparoscopic repair of inguinal hernia with graft or prosthesis, not otherwise specified"
1802,Incision of external auditory canal
181,Diagnostic procedures on external ear
2031,Electrocochleography
2049,Other mastoidectomy
2094,Injection of tympanum
2096,"Implantation or replacement of cochlear prosthetic device, not otherwise specified"
2211,Closed [ENDOSCOPIC] [NEEDLE] biopsy of nasal sinus
2239,Other external maxillary antrotomy
2301,Extraction of deciduous tooth
240,Incision of gum or alveolar bone
005,Other cardiovascular procedures
0057,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring
0060,Insertion of drug-eluting stent(s) of superficial femoral artery
0066,Percutaneous transluminal coronary angioplasty [PTCA]
0071,"Revision of hip replacement, acetabular component"
0077,"Hip bearing surface, ceramic-on-polyethylene"
0091,Transplant from live related donor
010,Cranial puncture
0120,Cranial implantation or replacement of neurostimulator pulse generator
0017,Infusion of vasopressor agent
0018,Infusion of immunosuppressive antibody therapy
0043,Procedure on four or more vessels
0064,Percutaneous insertion of other extracranial artery stent(s)
0074,"Hip bearing surface, metal-on-polyethylene"
0112,Open biopsy of cerebral meninges
0128,Placement of intracerebral catheter(s) via burr hole(s)
013,Incision of brain and cerebral meninges
0025,Intravascular imaging of renal vessels
003,Computer assisted surgery [CAS]
0047,Insertion of three vascular stents
0050,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
0053,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]
0081,"Revision of knee replacement, tibial component"
0092,Transplant from live non-related donor
0012,Administration of inhaled nitric oxide
0022,Intravascular imaging of intrathoracic vessels
0052,Implantation or replacement of transvenous lead [ELECTRODE] into left ventricular coronary venous system
0056,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring
0065,Percutaneous insertion of intracranial vascular stent(s)
01,"""incision and excision of skull, brain, and cerebral meninges"""
0110,Intracranial pressure monitoring
0117,Brain temperature monitoring
0153,Lobectomy of brain
000,Therapeutic ultrasound
0009,Other therapeutic ultrasound
0019,Disruption of blood brain barrier via infusion [BBBD]
0055,Insertion of drug-eluting stent(s) of other peripheral vessel(s)
0084,"Revision of total knee replacement, tibial insert (LINER)"
012,Craniotomy and craniectomy
0125,Other craniectomy
0139,Other incision of brain
0142,Operations on globus pallidus
016,Excision of lesion of skull
0003,Therapeutic ultrasound of peripheral vascular vessels
0010,Implantation of chemotherapeutic agent
0023,Intravascular imaging of peripheral vessels
011,"""diagnostic procedures on skull, brain, and cerebral meninges"""
0001,Therapeutic ultrasound of vessels of head and neck
0042,Procedure on three vessels
006,Procedures on blood vessels
0073,"Revision of hip replacement, acetabular liner and/or femoral head only"
009,Other procedures and interventions
0113,Closed [PERCUTANEOUS] [NEEDLE] biopsy of brain
0046,Insertion of two vascular stents
0048,Insertion of four or more vascular stents
0058,Insertion of intra-aneurysm sac pressure monitoring device (INTRAOPERATIVE)
0068,Intravascular pressure measurement of peripheral arteries
0121,Incision and drainage of cranial sinus
014,Operations on the thalamus and globus pallidus
0024,Intravascular imaging of coronary vessels
0034,Imageless computer assisted surgery
004,Adjunct vascular system procedures
0059,Intravascular pressure measurement of coronary arteries
0062,Percutaneous angioplasty of intracranial vessel(s)
0082,"Revision of knee replacement, femoral component"
0086,"Resurfacing hip, partial, femoral head"
0096,Infusion of 4-factor prothrombin complex concentrate
0109,Other cranial puncture
0035,Computer assisted surgery with multiple datasets
0094,Intra-operative neurophysiologic monitoring
0095,Injection or infusion of glucarpidase
0102,Ventriculopuncture through previously implanted catheter
0132,Lobotomy and tractotomy
0152,Hemispherectomy
0039,Other computer assisted surgery
0041,Procedure on two vessels
008,Other knee and hip procedures
0093,Transplant from cadaver
0115,Biopsy of skull
0131,Incision of cerebral meninges
2041,Simple mastoidectomy
206,Fenestration of inner ear
2097,"Implantation or replacement of cochlear prosthetic device, single channel"
2161,Turbinectomy by diathermy or cryosurgery
2169,Other turbinectomy
2241,Frontal sinusotomy
2250,"Sinusotomy, not otherwise specified"
2251,Ethmoidotomy
1954,Type IV tympanoplasty
140,Removal of foreign body from posterior segment of eye
1422,Destruction of chorioretinal lesion by cryotherapy
1435,Repair of retinal tear by photocoagulation of unspecified type
1452,Repair of retinal detachment with cryotherapy
160,Orbitotomy
1652,Exenteration of orbit with therapeutic removal of orbital bone
166,Secondary procedures after removal of eyeball
1734,Laparoscopic resection of transverse colon
1751,"Implantation of rechargeable cardiac contractility modulation [CCM], total system"
19,Reconstructive operations on middle ear
195,Other tympanoplasty
1955,Type V tympanoplasty
2095,Implantation of electromagnetic hearing device
215,Submucous resection of nasal septum
216,Turbinectomy
219,Other operations on nose
248,Other orthodontic operation
259,Other operations on tongue
260,Incision of salivary gland or duct
2691,Probing of salivary duct
2756,Other skin graft to lip and mouth
2761,Suture of laceration of palate
2771,Incision of uvula
28,Operations on tonsils and adenoids
0235,Ventricular shunt to urinary system
0291,Lysis of cortical adhesions
0296,Insertion of sphenoidal electrodes
03,Operations on spinal cord and spinal canal structures
035,Plastic operations on spinal cord structures
0393,Implantation or replacement of spinal neurostimulator lead(s)
0395,Spinal blood patch
0412,Open biopsy of cranial or peripheral nerve or ganglion
042,Destruction of cranial and peripheral nerves
0443,Release of carpal tunnel
0449,Other peripheral nerve or ganglion decompression or lysis of adhesions
0211,Simple suture of dura mater of brain
0309,Other exploration and decompression of spinal canal
0331,Spinal tap
0390,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
0472,Accessory-facial anastomosis
048,Injection into peripheral nerve
0532,Injection of neurolytic agent into sympathetic nerve
0539,Other injection into sympathetic nerve or ganglion
0206,Other cranial osteoplasty
0239,Ventricular shunt to extracranial site nec
0352,Repair of spinal myelomeningocele
0379,Other shunt of spinal theca
0391,Injection of anesthetic into spinal canal for analgesia
0398,Removal of spinal thecal shunt
0205,Insertion of skull plate
0403,Division or crushing of other cranial and peripheral nerves
0406,Other cranial or peripheral ganglionectomy
0407,Other excision or avulsion of cranial and peripheral nerves
0441,Decompression of trigeminal nerve root
0444,Release of tarsal tunnel
045,Cranial or peripheral nerve graft
047,Other cranial or peripheral neuroplasty
0521,Sphenopalatine ganglionectomy
020,Cranioplasty
0212,Other repair of cerebral meninges
0241,Irrigation and exploration of ventricular shunt
029,"""other operations on skull, brain, and cerebral meninges"""
0293,Implantation or replacement of intracranial neurostimulator lead(s)
0329,Other chordotomy
0353,Repair of vertebral fracture
0402,Division of trigeminal nerve
0404,Other incision of cranial and peripheral nerves
041,Diagnostic procedures on peripheral nervous system
065,Substernal thyroidectomy
0721,Excision of lesion of adrenal gland
073,Bilateral adrenalectomy
0202,Elevation of skull fracture fragments
032,Chordotomy
043,Suture of cranial and peripheral nerves
049,Other operations on cranial and peripheral nerves
052,Sympathectomy
0523,Lumbar sympathectomy
0589,Other operations on sympathetic nerves or ganglia
062,Unilateral thyroid lobectomy
0204,Bone graft to skull
0399,Other operations on spinal cord and spinal canal structures
0481,Injection of anesthetic into peripheral nerve for analgesia
059,Other operations on nervous system
0619,Other diagnostic procedures on thyroid and parathyroid glands
067,Excision of thyroglossal duct or tract
0681,Complete parathyroidectomy
208,Operations on eustachian tube
2091,Tympanosympathectomy
21,Operations on nose
2171,Closed reduction of nasal fracture
2183,Total nasal reconstruction
220,Aspiration and lavage of nasal sinus
2219,Other diagnostic procedures on nasal sinuses
223,External maxillary antrotomy
2262,Excision of lesion of maxillary sinus with other approach
2264,Sphenoidectomy
235,Implantation of tooth
236,Prosthetic dental implant
2431,Excision of lesion or tissue of gum
2432,Suture of laceration of gum
246,Exposure of tooth
2499,Other dental operations
2349,Other dental restoration
244,Excision of dental lesion of jaw
250,Diagnostic procedures on tongue
2559,Other repair and plastic operations on tongue
2591,Lingual frenotomy
2594,Other glossotomy
269,Other operations on salivary gland or duct
2721,Biopsy of bony palate
0151,Excision of lesion or tissue of cerebral meninges
0232,Ventricular shunt to circulatory system
0242,Replacement of ventricular shunt
0295,Removal of skull tongs or halo traction device
037,Shunt of spinal theca
038,Injection of destructive agent into spinal canal
0396,Percutaneous denervation of facet
0401,Excision of acoustic neuroma
0442,Other cranial nerve decompression
051,Diagnostic procedures on sympathetic nerves or ganglia
2260,"Sinusectomy, not otherwise specified"
2279,Other repair of nasal sinus
229,Other operations on nasal sinuses
241,"""diagnostic procedures on teeth, gums, and alveoli"""
2491,Extension or deepening of buccolabial or lingual sulcus
2502,Open biopsy of tongue
2592,Lingual frenectomy
263,Sialoadenectomy
2649,Other repair and plastic operations on salivary gland or duct
204,Mastoidectomy
2062,Revision of fenestration of inner ear
2079,"Other incision, excision, and destruction of inner ear"
209,Other operations on inner and middle ear
2102,Control of epistaxis by posterior (and anterior) packing
2261,Excision of lesion of maxillary sinus with caldwell-luc approach
2311,Removal of residual root
0581,Repair of sympathetic nerve or ganglion
06,Operations on thyroid and parathyroid glands
060,Incision of thyroid field
0692,Ligation of thyroid vessels
0693,Suture of thyroid gland
080,Incision of eyelid
0821,Excision of chalazion
0863,Reconstruction of eyelid with hair follicle graft
087,Other reconstruction of eyelid
0889,Other eyelid repair
0892,Cryosurgical epilation of eyelid
0899,Other operations on eyelids
0972,Other repair of punctum
101,Other incision of conjunctiva
0471,Hypoglossal-facial anastomosis
0479,Other neuroplasty
0499,Other operations on cranial and peripheral nerves
050,Division of sympathetic nerve or ganglion
070,Exploration of adrenal field
0711,Closed [PERCUTANEOUS] [NEEDLE] biopsy of adrenal gland
0714,"Biopsy of pituitary gland, transsphenoidal approach"
072,Partial adrenalectomy
0768,"Total excision of pituitary gland, other specified approach"
0781,Other partial excision of thymus
0795,Thoracoscopic incision of thymus
084,Repair of entropion or ectropion
0886,Lower eyelid rhytidectomy
2919,Other diagnostic procedures on pharynx
2952,Closure of branchial cleft fistula
058,Other operations on sympathetic nerves or ganglia
064,Complete thyroidectomy
0741,Incision of adrenal gland
0761,"Partial excision of pituitary gland, transfrontal approach"
0793,Repair of thymus
0825,Destruction of lesion of eyelid
0831,Repair of blepharoptosis by frontalis muscle technique with suture
0871,"Reconstruction of eyelid involving lid margin, partial-thickness"
0893,Other epilation of eyelid
0981,Dacryocystorhinostomy [DCR]
099,Other operations on lacrimal system
111,Incision of cornea
069,Other operations on thyroid (REGION) and parathyroid
0701,Unilateral exploration of adrenal field
0716,Biopsy of thymus
08,Operations on eyelids
0841,Repair of entropion or ectropion by thermocauterization
0872,"Other reconstruction of eyelid, partial-thickness"
089,Other operations on eyelids
0919,Other diagnostic procedures on lacrimal system
0922,Other partial dacryoadenectomy
0923,Total dacryoadenectomy
0951,Incision of lacrimal punctum
10,Operations on conjunctiva
1042,Reconstruction of conjunctival cul-de-sac with free graft
1149,Other removal or destruction of corneal lesion
1179,Other reconstructive and refractive surgery on cornea
1200,"Removal of intraocular foreign body from anterior segment of eye, not otherwise specified"
1202,Removal of intraocular foreign body from anterior segment of eye without use of magnet
1251,Goniopuncture without goniotomy
1273,Cyclophotocoagulation
1297,Other operations on iris
068,Parathyroidectomy
0699,Other operations on parathyroid glands
0700,"Exploration of adrenal field, not otherwise specified"
0744,Repair of adrenal gland
077,Other operations on hypophysis
081,Diagnostic procedures on eyelid
0822,Excision of other minor lesion of eyelid
0838,Correction of lid retraction
0844,Repair of entropion or ectropion with lid reconstruction
0859,Other adjustment of lid position
0873,"Reconstruction of eyelid involving lid margin, full-thickness"
090,Incision of lacrimal gland
0942,Probing of lacrimal canaliculi
0944,Intubation of nasolacrimal duct
1033,Other destructive procedures on conjunctiva
0713,"Biopsy of pituitary gland, transfrontal approach"
0742,Division of nerves to adrenal glands
0764,"Total excision of pituitary gland, transfrontal approach"
0783,Thoracoscopic partial excision of thymus
0792,Other incision of thymus
0799,Other and unspecified operations on thymus
085,Other adjustment of lid position
086,Reconstruction of eyelid with flaps or grafts
094,Manipulation of lacrimal passage
0983,Conjunctivorhinostomy with insertion of tube or stent
1139,Other excision of pterygium
1163,Penetrating keratoplasty with autograft
1222,Biopsy of iris
1232,Lysis of other anterior synechiae
1271,Cyclodiathermy
1274,"Diminution of ciliary body, not otherwise specified"
1285,Repair of scleral staphyloma with graft
1300,"Removal of foreign body from lens, not otherwise specified"
131,Intravascular extraction of lens
0780,"Thymectomy, not otherwise specified"
0823,"Excision of major lesion of eyelid, partial-thickness"
0835,Repair of blepharoptosis by tarsal technique
0851,Canthotomy
0883,"Other repair of laceration of eyelid, partial-thickness"
09,Operations on lacrimal system
0943,Probing of nasolacrimal duct
0949,Other manipulation of lacrimal passage
097,Repair of canaliculus and punctum
1091,Subconjunctival injection
113,Excision of pterygium
1143,Cryotherapy of corneal lesion
1151,Suture of corneal laceration
1153,Repair of corneal laceration or wound with conjunctival flap
122,"""diagnostic procedures on iris, ciliary body, sclera, and anterior chamber"""
1282,Repair of scleral fistula
1299,Other operations on anterior chamber
0524,Presacral sympathectomy
053,Injection into sympathetic nerve or ganglion
061,Diagnostic procedures on thyroid and parathyroid glands
0612,Open biopsy of thyroid gland
0729,Other partial adrenalectomy
0743,Ligation of adrenal vessels
0751,Exploration of pineal field
0782,Other total excision of thymus
0801,Incision of lid margin
083,Repair of blepharoptosis and lid retraction
0849,Other repair of entropion or ectropion
0861,Reconstruction of eyelid with skin flap or graft
0870,"Reconstruction of eyelid, not otherwise specified"
255,Repair of tongue and glossoplasty
2593,Lysis of adhesions of tongue
279,Other operations on mouth and face
289,Other operations on tonsils and adenoids
2931,Cricopharyngeal myotomy
294,Plastic operation on pharynx
2751,Suture of laceration of lip
2762,Correction of cleft palate
2911,Pharyngoscopy
2999,Other operations on pharynx
302,Other partial laryngectomy
102,Diagnostic procedures on conjunctiva
1032,Destruction of lesion of conjunctiva
1129,Other diagnostic procedures on cornea
1132,Excision of pterygium with corneal graft
1160,"Corneal transplant, not otherwise specified"
1169,Other corneal transplant
1175,Radial keratotomy
1293,Removal or destruction of epithelial downgrowth from anterior chamber
130,Removal of foreign body from lens
1433,Repair of retinal tear by xenon arc photocoagulation
2371,Root canal therapy with irrigation
2732,Wide excision or destruction of lesion or tissue of bony palate
2769,Other plastic repair of palate
275,Plastic repair of lip and mouth
2799,Other operations on oral cavity
284,Excision of tonsil tag
290,Pharyngotomy
2951,Suture of laceration of pharynx
2959,Other repair of pharynx
312,Permanent tracheostomy
3228,Endoscopic excision or destruction of lesion or tissue of lung
3249,Other lobectomy of lung
3322,Fiber-optic bronchoscopy
3323,Other bronchoscopy
3328,Open biopsy of lung
3392,Ligation of bronchus
3393,Puncture of lung
34,"""operations on chest wall, pleura, mediastinum and diaphragm"""
3402,Exploratory thoracotomy
3424,Other pleural biopsy
114,Excision or destruction of tissue or other lesion of cornea
1173,Keratoprosthesis
1176,Epikeratophakia
1252,Goniotomy without goniopuncture
1288,Other scleral reinforcement
1351,Extracapsular extraction of lens by temporal inferior route
1411,Diagnostic aspiration of vitreous
143,Repair of retinal tear
13,Operations on lens
1372,Secondary insertion of intraocular lens prosthesis
1390,"Operation on lens, not elsewhere classified"
1432,Repair of retinal tear by cryotherapy
146,Removal of surgically implanted material from posterior segment of eye
147,Operations on vitreous
168,Repair of injury of eyeball and orbit
1741,Open robotic assisted procedure
1742,Laparoscopic robotic assisted procedure
1839,Other excision of external ear
1952,Type II tympanoplasty
1214,Other iridectomy
1235,Coreoplasty
124,Excision or destruction of lesion of iris and ciliary body
1240,"Removal of lesion of anterior segment of eye, not otherwise specified"
1265,Other scleral fistulization with iridectomy
1281,Suture of laceration of sclera
133,Extracapsular extraction of lens by simple aspiration (and irrigation) technique
1429,Other destruction of chorioretinal lesion
1431,Repair of retinal tear by diathermy
1439,Other repair of retinal tear
1449,Other scleral buckling
1473,Mechanical vitrectomy by anterior approach
1629,Other diagnostic procedures on orbit and eyeball
1712,Laparoscopic repair of indirect inguinal hernia with graft or prosthesis
1731,Laparoscopic multiple segmental resection of large intestine
134,Extracapsular extraction of lens by fragmentation and aspiration technique
136,Other cataract extraction
1365,Excision of secondary membrane [after cataract]
1426,Destruction of chorioretinal lesion by radiation therapy
1453,Repair of retinal detachment with xenon arc photocoagulation
151,Operations on one extraocular muscle involving temporary detachment from globe
156,Revision of extraocular muscle surgery
164,Enucleation of eyeball
172,Laparoscopic bilateral repair of inguinal hernia
173,Laparoscopic partial excision of large intestine
1743,Percutaneous robotic assisted procedure
1749,Other and unspecified robotic assisted procedure
1761,Laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance
177,Other diagnostic and therapeutic procedures
139,Other operations on lens
1451,Repair of retinal detachment with diathermy
150,Diagnostic procedures on extraocular muscles or tendons
1621,Ophthalmoscopy
1672,Removal of orbital implant
1682,Repair of rupture of eyeball
169,Other operations on orbit and eyeball
1693,"Excision of lesion of eye, unspecified structure"
1721,Laparoscopic bilateral repair of direct inguinal hernia with graft or prosthesis
1723,"Laparoscopic bilateral repair of inguinal hernia, one direct and one indirect, with graft or prosthesis"
1755,Transluminal coronary atherectomy
1781,Insertion of antimicrobial envelope
182,Excision or destruction of lesion of external ear
1821,Excision of preauricular sinus
1871,Construction of auricle of ear
199,Other repair of middle ear
1162,Other lamellar keratoplasty
1243,"Destruction of lesion of ciliary body, nonexcisional"
1244,Excision of lesion of ciliary body
125,Facilitation of intraocular circulation
129,"""other operations on iris, ciliary body, and anterior chamber"""
132,Extracapsular extraction of lens by linear extraction technique
1342,Mechanical phacofragmentation and aspiration of cataract by posterior route
1364,Discission of secondary membrane [after cataract]
1370,"Insertion of pseudophakos, not otherwise specified"
1421,Destruction of chorioretinal lesion by diathermy
112,Diagnostic procedures on cornea
116,Corneal transplant
1174,Thermokeratoplasty
1191,Tattooing of cornea
1221,Diagnostic aspiration of anterior chamber of eye
123,Iridoplasty and corneoplasty
142,Destruction of lesion of retina and choroid
1423,Destruction of chorioretinal lesion by xenon arc photocoagulation
145,Other repair of retinal detachment
1483,Revision or replacement of epiretinal visual prosthesis
1501,Biopsy of extraocular muscle or tendon
1509,Other diagnostic procedures on extraocular muscles and tendons
153,"Operations on two or more extraocular muscles involving temporary detachment from globe, one or both eyes"
154,"Other operations on two or more extraocular muscles, one or both eyes"
159,Other operations on extraocular muscles and tendons
1602,Orbitotomy with insertion of orbital implant
161,"Removal of penetrating foreign body from eye, not otherwise specified"
303,Complete laryngectomy
3121,Mediastinal tracheostomy
3142,Laryngoscopy and other tracheoscopy
325,Pneumonectomy
3327,Closed endoscopic biopsy of lung
3378,Endoscopic removal of bronchial device(s) or substances
3421,Transpleural thoracoscopy
3423,Biopsy of chest wall
345,Pleurectomy
292,Excision of branchial cleft cyst or vestige
1642,Enucleation of eyeball with other synchronous implant
171,Laparoscopic unilateral repair of inguinal hernia
1724,"Laparoscopic bilateral repair of inguinal hernia with graft or prosthesis, not otherwise specified"
1733,Laparoscopic right hemicolectomy
1736,Laparoscopic sigmoidectomy
175,Additional cardiovascular procedures
1762,Laser interstitial thermal therapy [LITT] of lesion or tissue of head and neck under guidance
180,Incision of external ear
184,Suture of laceration of external ear
189,Other operations on external ear
1929,Other revision of stapedectomy
2001,Myringotomy with insertion of tube
2009,Other myringotomy
31,Other operations on larynx and trachea
3143,Closed [ENDOSCOPIC] biopsy of larynx
