CPTCode,ShortDescription
0150T,"Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing; cardiac structure and morphology in congenital heart disease"
0151T,"Computed tomography, heart, with contrast material(s), including noncontrast images, if performed, cardiac gating and 3D image postprocessing, function evaluation (left and right ventricular function, ejection-fraction and segmental wall motion) (List separately in addition to code for primary procedure)"
0155T,"Laparoscopy, surgical; implantation or replacement of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)"
0156T,"Laparoscopy, surgical; revision or removal of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)"
0157T,"Laparotomy, implantation or replacement of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)"
0158T,"Laparotomy, revision or removal of gastric stimulation electrodes, lesser curvature (ie, morbid obesity)"
0160T,Therapeutic repetitive transcranial magnetic stimulation treatment planning
0161T,"Therapeutic repetitive transcranial magnetic stimulation treatment delivery and management, per session"
0162T,"Electronic analysis and programming, reprogramming of gastric neurostimulator (ie, morbid obesity)"
01632,"Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; radical resection"
0166T,"Transmyocardial transcatheter closure of ventricular septal defect, with implant; without cardiopulmonary bypass"
0167T,"Transmyocardial transcatheter closure of ventricular septal defect, with implant; with cardiopulmonary bypass"
0168T,"Rhinophototherapy, intranasal application of ultraviolet and visible light, bilateral"
0170T,"Repair of anorectal fistula with plug (eg, porcine small intestine submucosa [SIS])"
0173T,Monitoring of intraocular pressure during vitrectomy surgery (List separately in addition to code for primary procedure)
0176T,Transluminal dilation of aqueous outflow canal; without retention of device or stent
0177T,Transluminal dilation of aqueous outflow canal; with retention of device or stent
0187T,"Scanning computerized ophthalmic diagnostic imaging, anterior segment, with interpretation and report, unilateral"
0193T,"Transurethral, radiofrequency micro-remodeling of the female bladder neck and proximal urethra for stress urinary incontinence"
0194T,Procalcitonin (PCT)
0203T,"Sleep study, unattended, simultaneous recording; heart rate, oxygen saturation, respiratory analysis (eg, by airflow or peripheral arterial tone) and sleep time"
0204T,"Sleep study, unattended, simultaneous recording; minimum of heart rate, oxygen saturation, and respiratory analysis (eg, by airflow or peripheral arterial tone)"
0242T,"Gastrointestinal tract transit and pressure measurement, stomach through colon, wireless capsule, with interpretation and report"
0250T,"Airway sizing and insertion of bronchial valve(s), each lobe (List separately in addition to code for primary procedure)"
0251T,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with removal of bronchial valve(s), initial lobe"
0252T,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with removal of bronchial valve(s), each additional lobe (List separately in addition to code for primary procedure)"
0256T,Implantation of catheter-delivered prosthetic aortic heart valve; endovascular approach
0257T,"Implantation of catheter-delivered prosthetic aortic heart valve; open thoracic approach (eg, transapical, transventricular)"
0258T,"Transthoracic cardiac exposure (eg, sternotomy, thoracotomy, subxiphoid) for catheter-delivered aortic valve replacement; without cardiopulmonary bypass"
0259T,"Transthoracic cardiac exposure (eg, sternotomy, thoracotomy, subxiphoid) for catheter-delivered aortic valve replacement; with cardiopulmonary bypass"
1080F,Surrogate decision maker or advance care plan documented in the medical record (GER)5
11040,"Debridement; skin, partial thickness"
11041,"Debridement; skin, full thickness"
11975,"Insertion, implantable contraceptive capsules"
11977,"Removal with reinsertion, implantable contraceptive capsules"
14300,"Adjacent tissue transfer or rearrangement, more than 30 sq cm, unusual or complicated, any area"
15170,"Acellular dermal replacement, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
15171,"Acellular dermal replacement, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15175,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
15176,"Acellular dermal replacement, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15300,"Allograft skin for temporary wound closure, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
15301,"Allograft skin for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15320,"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
15321,"Allograft skin for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15330,"Acellular dermal allograft, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
15331,"Acellular dermal allograft, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15335,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
15336,"Acellular dermal allograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15340,Tissue cultured allogeneic skin substitute; first 25 sq cm or less
15341,"Tissue cultured allogeneic skin substitute; each additional 25 sq cm, or part thereof (List separately in addition to code for primary procedure)"
15360,"Tissue cultured allogeneic dermal substitute, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
15361,"Tissue cultured allogeneic dermal substitute, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15365,"Tissue cultured allogeneic dermal substitute, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
15366,"Tissue cultured allogeneic dermal substitute, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15400,"Xenograft, skin (dermal), for temporary wound closure, trunk, arms, legs; first 100 sq cm or less, or 1% of body area of infants and children"
15401,"Xenograft, skin (dermal), for temporary wound closure, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15420,"Xenograft skin (dermal), for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
15421,"Xenograft skin (dermal), for temporary wound closure, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
15430,"Acellular xenograft implant; first 100 sq cm or less, or 1% of body area of infants and children"
15431,"Acellular xenograft implant; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)"
20000,"Incision of soft tissue abscess (eg, secondary to osteomyelitis); superficial"
20986,"Computer-assisted surgical navigational procedure for musculoskeletal procedures; with image guidance based on intraoperatively obtained images (eg, fluoroscopy, ultrasound) (List separately in addition to code for primary procedure)"
20987,Computer-assisted surgical navigational procedure for musculoskeletal procedures; with image guidance based on preoperative images (List separately in addition to code for primary procedure)
23221,"Radical resection of bone tumor, proximal humerus; with autograft (includes obtaining graft)"
23222,"Radical resection of bone tumor, proximal humerus; with prosthetic replacement"
24151,"Radical resection for tumor, shaft or distal humerus; with autograft (includes obtaining graft)"
24153,"Radical resection for tumor, radial head or neck; with autograft (includes obtaining graft)"
26255,"Radical resection, metacarpal (eg, tumor); with autograft (includes obtaining graft)"
26261,"Radical resection, proximal or middle phalanx of finger (eg, tumor); with autograft (includes obtaining graft)"
27079,"Radical resection of tumor or infection; ischial tuberosity and greater trochanter of femur, with skin flaps"
29220,Strapping; low back
29590,Denis-Browne splint strapping
31656,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with injection of contrast material for segmental bronchography (fiberscope only)"
31715,Transtracheal injection for bronchography
32095,"Thoracotomy, limited, for biopsy of lung or pleura"
32402,"Biopsy, pleura; open"
32420,"Pneumocentesis, puncture of lung for aspiration"
32421,"Thoracentesis, puncture of pleural cavity for aspiration, initial or subsequent"
32422,"Thoracentesis with insertion of tube, includes water seal (eg, for pneumothorax), when performed (separate procedure)"
32500,"Removal of lung, other than total pneumonectomy; wedge resection, single or multiple"
32602,"Thoracoscopy, diagnostic (separate procedure); lungs and pleural space, with biopsy"
32603,"Thoracoscopy, diagnostic (separate procedure); pericardial sac, without biopsy"
32605,"Thoracoscopy, diagnostic (separate procedure); mediastinal space, without biopsy"
32657,"Thoracoscopy, surgical; with wedge resection of lung, single or multiple"
32660,"Thoracoscopy, surgical; with total pericardiectomy"
3302F,"AJCC Cancer Stage 0, documented (ONC)1, (ML)5"
3303F,"AJCC Cancer Stage IA, documented (ONC)1, (ML)5"
3304F,"AJCC Cancer Stage IB, documented (ONC)1, (ML)5"
3305F,"AJCC Cancer Stage IC, documented (ONC)1, (ML)5"
3306F,"AJCC Cancer Stage IIA, documented (ONC)1, (ML)5"
3307F,"AJCC Cancer Stage IIB, documented (ONC)1, (ML)5"
3308F,"AJCC Cancer Stage IIC, documented (ONC)1, (ML)5"
3309F,"AJCC Cancer Stage IIIA, documented (ONC)1, (ML)5"
3310F,"AJCC Cancer Stage IIIB, documented (ONC)1, (ML)5"
3311F,"AJCC Cancer Stage IIIC, documented (ONC)1, (ML)5"
3312F,"AJCC Cancer Stage IV, documented (ONC)1, (ML)5"
3313F,"AJCC Cancer Stage IVB, documented (ONC)1, (ML)5"
3314F,"AJCC Cancer Stage IVC, documented (ONC)1, (ML)5"
33861,"Ascending aorta graft, with cardiopulmonary bypass, with or without valve suspension; with coronary reconstruction"
35454,"Transluminal balloon angioplasty, open; iliac"
35456,"Transluminal balloon angioplasty, open; femoral-popliteal"
35459,"Transluminal balloon angioplasty, open; tibioperoneal trunk and branches"
35470,"Transluminal balloon angioplasty, percutaneous; tibioperoneal trunk or branches, each vessel"
35473,"Transluminal balloon angioplasty, percutaneous; iliac"
35474,"Transluminal balloon angioplasty, percutaneous; femoral-popliteal"
35480,"Transluminal peripheral atherectomy, open; renal or other visceral artery"
35481,"Transluminal peripheral atherectomy, open; aortic"
35482,"Transluminal peripheral atherectomy, open; iliac"
35483,"Transluminal peripheral atherectomy, open; femoral-popliteal"
35484,"Transluminal peripheral atherectomy, open; brachiocephalic trunk or branches, each vessel"
35485,"Transluminal peripheral atherectomy, open; tibioperoneal trunk and branches"
35490,"Transluminal peripheral atherectomy, percutaneous; renal or other visceral artery"
35491,"Transluminal peripheral atherectomy, percutaneous; aortic"
35492,"Transluminal peripheral atherectomy, percutaneous; iliac"
35493,"Transluminal peripheral atherectomy, percutaneous; femoral-popliteal"
35494,"Transluminal peripheral atherectomy, percutaneous; brachiocephalic trunk or branches, each vessel"
35495,"Transluminal peripheral atherectomy, percutaneous; tibioperoneal trunk and branches"
35548,"Bypass graft, with vein; aortoiliofemoral, unilateral"
35549,"Bypass graft, with vein; aortoiliofemoral, bilateral"
35551,"Bypass graft, with vein; aortofemoral-popliteal"
35651,"Bypass graft, with other than vein; aortofemoral-popliteal"
36145,"Introduction of needle or intracatheter; arteriovenous shunt created for dialysis (cannula, fistula, or graft)"
36834,Plastic repair of arteriovenous aneurysm (separate procedure)
37201,"Transcatheter therapy, infusion for thrombolysis other than coronary"
37203,"Transcatheter retrieval, percutaneous, of intravascular foreign body (eg, fractured venous or arterial catheter)"
37209,Exchange of a previously placed intravascular catheter during thrombolytic therapy
37620,"Interruption, partial or complete, of inferior vena cava by suture, ligation, plication, clip, extravascular, intravascular (umbrella device)"
39502,"Repair, paraesophageal hiatus hernia, transabdominal, with or without fundoplasty, vagotomy, and/or pyloroplasty, except neonatal"
39520,"Repair, diaphragmatic hernia (esophageal hiatal); transthoracic"
39530,"Repair, diaphragmatic hernia (esophageal hiatal); combined, thoracoabdominal"
39531,"Repair, diaphragmatic hernia (esophageal hiatal); combined, thoracoabdominal, with dilation of stricture (with or without gastroplasty)"
4002F,"Statin therapy, prescribed (CAD)"
4006F,"Beta-blocker therapy prescribed (CAD, HF)"
4009F,"Angiotensin converting enzyme (ACE) inhibitor or angiotensin receptor blocker (ARB) therapy prescribed (HF, CAD, CKD), (DM)"
4152F,Documentation that combination peginterferon and ribavirin therapy considered (HEP-C)1
4154F,Hepatitis A vaccine series recommended (HEP-C)1
4156F,Hepatitis B vaccine series recommended (HEP-C)1
4275F,Hepatitis B vaccine injection administered or previously received (HIV)
43234,"Upper gastrointestinal endoscopy, simple primary examination (eg, with small diameter flexible endoscope) (separate procedure)"
43324,"Esophagogastric fundoplasty (eg, Nissen, Belsey IV, Hill procedures)"
43326,"Esophagogastric fundoplasty; with gastroplasty (eg, Collis)"
43600,"Biopsy of stomach; by capsule, tube, peroral (1 or more specimens)"
45170,"Excision of rectal tumor, transanal approach"
46210,Cryptectomy; single
46211,Cryptectomy; multiple (separate procedure)
46934,"Destruction of hemorrhoids, any method; internal"
46935,"Destruction of hemorrhoids, any method; external"
46936,"Destruction of hemorrhoids, any method; internal and external"
46937,Cryosurgery of rectal tumor; benign
46938,Cryosurgery of rectal tumor; malignant
49080,"Peritoneocentesis, abdominal paracentesis, or peritoneal lavage (diagnostic or therapeutic); initial"
49081,"Peritoneocentesis, abdominal paracentesis, or peritoneal lavage (diagnostic or therapeutic); subsequent"
49420,Insertion of intraperitoneal cannula or catheter for drainage or dialysis; temporary
51772,"Urethral pressure profile studies (UPP) (urethral closure pressure profile), any technique"
51795,"Voiding pressure studies (VP); bladder voiding pressure, any technique"
52606,Transurethral fulguration for postoperative bleeding occurring after the usual follow-up time
52612,Transurethral resection of prostate; first stage of two-stage resection (partial resection)
52614,Transurethral resection of prostate; second stage of two-stage resection (resection completed)
52620,Transurethral resection; of residual obstructive tissue after 90 days postoperative
53853,Transurethral destruction of prostate tissue; by water-induced thermotherapy
61793,"Stereotactic radiosurgery (particle beam, gamma ray or linear accelerator), one or more sessions"
61795,"Stereotactic computer-assisted volumetric (navigational) procedure, intracranial, extracranial, or spinal (List separately in addition to code for primary procedure)"
63660,Revision or removal of spinal neurostimulator electrode percutaneous array(s) or plate/paddle(s)
64470,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; cervical or thoracic, single level"
64472,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; cervical or thoracic, each additional level (List separately in addition to code for primary procedure)"
64475,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; lumbar or sacral, single level"
64476,"Injection, anesthetic agent and/or steroid, paravertebral facet joint or facet joint nerve; lumbar or sacral, each additional level (List separately in addition to code for primary procedure)"
64560,Percutaneous implantation of neurostimulator electrodes; autonomic nerve
64573,Incision for implantation of neurostimulator electrodes; cranial nerve
64577,Incision for implantation of neurostimulator electrodes; autonomic nerve
64622,"Destruction by neurolytic agent, paravertebral facet joint nerve; lumbar or sacral, single level"
64623,"Destruction by neurolytic agent, paravertebral facet joint nerve; lumbar or sacral, each additional level (List separately in addition to code for primary procedure)"
64626,"Destruction by neurolytic agent, paravertebral facet joint nerve; cervical or thoracic, single level"
64627,"Destruction by neurolytic agent, paravertebral facet joint nerve; cervical or thoracic, each additional level (List separately in addition to code for primary procedure)"
65805,Paracentesis of anterior chamber of eye (separate procedure); with therapeutic release of aqueous
69802,"Labyrinthotomy, with perfusion of vestibuloactive drug(s); with mastoidectomy"
71040,"Bronchography, unilateral, radiological supervision and interpretation"
71060,"Bronchography, bilateral, radiological supervision and interpretation"
71090,"Insertion pacemaker, fluoroscopy and radiography, radiological supervision and interpretation"
73542,"Radiological examination, sacroiliac joint arthrography, radiological supervision and interpretation"
75558,Cardiac magnetic resonance imaging for morphology and function without contrast material; with flow/velocity quantification
75560,Cardiac magnetic resonance imaging for morphology and function without contrast material; with flow/velocity quantification and stress
75562,"Cardiac magnetic resonance imaging for morphology and function without contrast material(s), followed by contrast material(s) and further sequences; with flow/velocity quantification"
75564,"Cardiac magnetic resonance imaging for morphology and function without contrast material(s), followed by contrast material(s) and further sequences; with flow/velocity quantification and stress"
75650,"Angiography, cervicocerebral, catheter, including vessel origin, radiological supervision and interpretation"
75660,"Angiography, external carotid, unilateral, selective, radiological supervision and interpretation"
75662,"Angiography, external carotid, bilateral, selective, radiological supervision and interpretation"
75665,"Angiography, carotid, cerebral, unilateral, radiological supervision and interpretation"
75671,"Angiography, carotid, cerebral, bilateral, radiological supervision and interpretation"
75676,"Angiography, carotid, cervical, unilateral, radiological supervision and interpretation"
75680,"Angiography, carotid, cervical, bilateral, radiological supervision and interpretation"
75685,"Angiography, vertebral, cervical, and/or intracranial, radiological supervision and interpretation"
75722,"Angiography, renal, unilateral, selective (including flush aortogram), radiological supervision and interpretation"
75724,"Angiography, renal, bilateral, selective (including flush aortogram), radiological supervision and interpretation"
75790,"Angiography, arteriovenous shunt (eg, dialysis patient), radiological supervision and interpretation"
75900,"Exchange of a previously placed intravascular catheter during thrombolytic therapy with contrast monitoring, radiological supervision and interpretation"
75940,"Percutaneous placement of IVC filter, radiological supervision and interpretation"
75961,"Transcatheter retrieval, percutaneous, of intravascular foreign body (eg, fractured venous or arterial catheter), radiological supervision and interpretation"
75992,"Transluminal atherectomy, peripheral artery, radiological supervision and interpretation"
75993,"Transluminal atherectomy, each additional peripheral artery, radiological supervision and interpretation (List separately in addition to code for primary procedure)"
75994,"Transluminal atherectomy, renal, radiological supervision and interpretation"
75995,"Transluminal atherectomy, visceral, radiological supervision and interpretation"
75996,"Transluminal atherectomy, each additional visceral artery, radiological supervision and interpretation (List separately in addition to code for primary procedure)"
76150,Xeroradiography
76350,Subtraction in conjunction with contrast studies
76880,"Ultrasound, extremity, nonvascular, real time with image documentation"
77079,"Computed tomography, bone mineral density study, 1 or more sites; appendicular skeleton (peripheral) (eg, radius, wrist, heel)"
77083,"Radiographic absorptiometry (eg, photodensitometry, radiogrammetry), 1 or more sites"
77781,Remote afterloading high intensity brachytherapy; 1-4 source positions or catheters
77782,Remote afterloading high intensity brachytherapy; 5-8 source positions or catheters
77783,Remote afterloading high intensity brachytherapy; 9-12 source positions or catheters
77784,Remote afterloading high intensity brachytherapy; over 12 source positions or catheters
78000,Thyroid uptake; single determination
78001,Thyroid uptake; multiple determinations
78003,"Thyroid uptake; stimulation, suppression or discharge (not including initial uptake studies)"
78006,"Thyroid imaging, with uptake; single determination"
78007,"Thyroid imaging, with uptake; multiple determinations"
78010,Thyroid imaging; only
78011,Thyroid imaging; with vascular flow
78220,"Liver function study with hepatobiliary agents, with serial images"
78223,"Hepatobiliary ductal system imaging, including gallbladder, with or without pharmacologic intervention, with or without quantitative measurement of gallbladder function"
78460,"Myocardial perfusion imaging; (planar) single study, at rest or stress (exercise and/or pharmacologic), with or without quantification"
78461,"Myocardial perfusion imaging; multiple studies (planar), at rest and/or stress (exercise and/or pharmacologic), and redistribution and/or rest injection, with or without quantification"
78464,"Myocardial perfusion imaging; tomographic (SPECT), single study (including attenuation correction when performed), at rest or stress (exercise and/or pharmacologic), with or without quantification"
78465,"Myocardial perfusion imaging; tomographic (SPECT), multiple studies (including attenuation correction when performed), at rest and/or stress (exercise and/or pharmacologic) and redistribution and/or rest injection, with or without quantification"
78478,"Myocardial perfusion study with wall motion, qualitative or quantitative study (List separately in addition to code for primary procedure)"
78480,Myocardial perfusion study with ejection fraction (List separately in addition to code for primary procedure)
78584,"Pulmonary perfusion imaging, particulate, with ventilation; single breath"
78585,"Pulmonary perfusion imaging, particulate, with ventilation; rebreathing and washout, with or without single breath"
78586,"Pulmonary ventilation imaging, aerosol; single projection"
78587,"Pulmonary ventilation imaging, aerosol; multiple projections (eg, anterior, posterior, lateral views)"
78588,"Pulmonary perfusion imaging, particulate, with ventilation imaging, aerosol, 1 or multiple projections"
78591,"Pulmonary ventilation imaging, gaseous, single breath, single projection"
78593,"Pulmonary ventilation imaging, gaseous, with rebreathing and washout with or without single breath; single projection"
78594,"Pulmonary ventilation imaging, gaseous, with rebreathing and washout with or without single breath; multiple projections (eg, anterior, posterior, lateral views)"
78596,Pulmonary quantitative differential function (ventilation/perfusion) study
78890,"Generation of automated data: interactive process involving nuclear physician and/or allied health professional personnel; simple manipulations and interpretation, not to exceed 30 minutes"
78891,"Generation of automated data: interactive process involving nuclear physician and/or allied health professional personnel; complex manipulations and interpretation, exceeding 30 minutes"
82307,Calciferol (Vitamin D)
82926,"Gastric acid, free and total, each specimen"
82928,"Gastric acid, free or total, each specimen"
83890,"Molecular diagnostics; molecular isolation or extraction, each nucleic acid type (ie, DNA or RNA)"
83891,"Molecular diagnostics; isolation or extraction of highly purified nucleic acid, each nucleic acid type (ie, DNA or RNA)"
83892,"Molecular diagnostics; enzymatic digestion, each enzyme treatment"
83893,"Molecular diagnostics; dot/slot blot production, each nucleic acid preparation"
83894,"Molecular diagnostics; separation by gel electrophoresis (eg, agarose, polyacrylamide), each nucleic acid preparation"
83896,"Molecular diagnostics; nucleic acid probe, each"
83897,"Molecular diagnostics; nucleic acid transfer (eg, Southern, Northern), each nucleic acid preparation"
83898,"Molecular diagnostics; amplification, target, each nucleic acid sequence"
83900,"Molecular diagnostics; amplification, target, multiplex, first 2 nucleic acid sequences"
83901,"Molecular diagnostics; amplification, target, multiplex, each additional nucleic acid sequence beyond 2 (List separately in addition to code for primary procedure)"
83902,Molecular diagnostics; reverse transcription
83903,"Molecular diagnostics; mutation scanning, by physical properties (eg, single strand conformational polymorphisms [SSCP], heteroduplex, denaturing gradient gel electrophoresis [DGGE], RNA'ase A), single segment, each"
83904,"Molecular diagnostics; mutation identification by sequencing, single segment, each segment"
83905,"Molecular diagnostics; mutation identification by allele specific transcription, single segment, each segment"
83906,"Molecular diagnostics; mutation identification by allele specific translation, single segment, each segment"
83907,"Molecular diagnostics; lysis of cells prior to nucleic acid extraction (eg, stool specimens, paraffin embedded tissue), each specimen"
83908,"Molecular diagnostics; amplification, signal, each nucleic acid sequence"
83909,"Molecular diagnostics; separation and identification by high resolution technique (eg, capillary electrophoresis), each nucleic acid preparation"
83912,Molecular diagnostics; interpretation and report
83913,Molecular diagnostics; RNA stabilization
83914,"Mutation identification by enzymatic ligation or primer extension, single segment, each segment (eg, oligonucleotide ligation assay [OLA], single base chain extension [SBCE], or allele-specific primer extension [ASPE])"
86781,"Antibody; Treponema pallidum, confirmatory test (eg, FTA-abs)"
86903,"Blood typing; antigen screening for compatible blood unit using reagent serum, per unit screened"
