HCPCSCode,ShortDescription
C9291,"Injection, aflibercept, 2 mg vial"
C9350,"Microporous collagen tube of non-human origin, per centimeter length"
C9351,"Acellular dermal tissue matrix of non-human origin, per square centimeter (do not report c9351 in conjunction with j7345)"
C9357,"Dermal substitute, granulated cross-linked collagen and glycosaminoglycan matrix (flowable wound matrix), 1 cc"
C9365,"Oasis ultra tri-layer matrix, per square centimeter"
C9366,"Epifix, per square centimeter"
C9368,"Grafix core, per square centimeter"
C9369,"Grafix prime, per square centimeter"
C9406,"Iodine i-123 ioflupane, diagnostic, per study dose, up to 5 millicuries"
C9716,Creations of thermal anal lesions by radiofrequency energy
C9723,Dynamic infrared blood perfusion imaging (DIRI)
C9729,Percut lumbar lami
C9730,"Bronchoscopic bronchial thermoplasty with imaging guidance (if performed), radiofrequency ablation of airway smooth muscle, 1 lobe"
C9731,"Bronchoscopic bronchial thermoplasty with imaging guidance (if performed), radiofrequency ablation of airway smooth muscle, 2 or more lobes"
C9732,Insertion of ocular telescope prosthesis including removal of crystalline lens
C9801,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes"
C9802,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes"
E0220,Hot water bottle
E0230,Ice cap or collar
E0238,"Non-electric heat pad, moist"
E0571,"Aerosol compressor, battery powered, for use with small volume nebulizer"
E1340,"Repair or nonroutine service for durable medical equipment requiring the skill of a technician, labor component, per 15 minutes"
E2223,"Manual wheelchair accessory, valve, any type, replacement only, each"
E2393,"Power wheelchair accessory, valve for pneumatic tire tube, any type, replacement only, each"
E2399,"Power wheelchair accessory, not otherwise classified interface, including all related electronics and any type mounting hardware"
E2618,"Wheelchair accessory, solid seat support base (replaces sling seat), for use with manual wheelchair or lightweight power wheelchair, includes any type mounting hardware"
G0265,"Cryopreservation, freezing and storage of cells for therapeutic use, each cell line"
G0266,"Thawing and expansion of frozen cells for therapeutic use, each aliquot"
G0267,"Bone marrow or peripheral stem cell harvest, modification or treatment to eliminate cell type(s) (e.g. t-cells, metastatic carcinoma)"
G0290,"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; single vessel"
G0291,"Transcatheter placement of a drug eluting intracoronary stent(s), percutaneous, with or without other therapeutic intervention, any method; each additional vessel"
G0298,Insertion of dual chamber pacing cardioverter defibrillator pulse generator
G0308,Esrd related svc 4+mo < 2yrs
G0309,Esrd related svc 2-3mo <2yrs
G0310,Esrd related svc 1 vst <2yrs
G0311,Esrd related svs 4+mo 2-11yr
G0312,Esrd relate svs 2-3 mo 2-11y
G0313,Esrd related svs 1 mon 2-11y
G0314,Esrd related svs 4+ mo 12-19
G0315,Esrd related svs 2-3mo/12-19
G0316,Esrd related svs 1vis/12-19y
G0317,"End stage renal disease (ESRD) related services during the course of treatment, for patients 20 years of age and over; with 4 or more face-to-face physician visits per month"
G0318,"End stage renal disease (ESRD) related services during the course of treatment, for patients 20 years of age and over; with 2 or 3 face-to-face physician visits per month"
G0319,"End stage renal disease (ESRD) related services during the course of treatment, for patients 20 years of age and over; with 1 face-to-face physician visit per month"
G0320,"End stage renal disease (ESRD) related services for home dialysis patients per full month; for patients under two years of age to include monitoring for adequacy of nutrition, assessment of growth and development, and counseling of parents"
G0321,"End stage renal disease (ESRD) related services for home dialysis patients per full month; for patients two to eleven years of age to include monitoring for adequacy of nutrition, assessment of growth and development, and counseling of parents"
G0322,"End stage renal disease (ESRD) related services for home dialysis patients per full month; for patients twelve to nineteen years of age to include monitoring for adequacy of nutrition, assessment of growth and development, and counseling of parents"
G0323,End stage renal disease (ESRD) related services for home dialysis patients per full month; for patients twenty years of age and older
G0324,"End stage renal disease (ESRD) related services less than full month, per day; for patients under two years of age"
G0325,"End stage renal disease (ESRD) related services less than full month, per day; for patients between two and eleven years of age"
G0326,"End stage renal disease (ESRD) related services less than full month, per day; for patients between twelve and nineteen years of age"
G0327,"End stage renal disease (ESRD) related services less than full month, per day; for patients twenty years of age and over"
G0332,Services for intravenous infusion of immunoglobulin prior to administration (this service is to be billed in conjunction with administration of immunoglobulin)
G0344,"Initial preventive physical examination; face-to-face visit, services limited to a new beneficiary during the first 12 months of medicare enrollment"
G0366,"Electrocardiogram, routine ecg with 12 leads; performed as a component of the initial preventive examination with interpretation and report"
G0367,"Tracing only, without interpretation and report, performed as a component of the initial preventive examination"
G0368,"Interpretation and report only, performed as a component of the initial preventive examination"
G0375,"Smoking and tobacco use cessation counseling visit; intermediate, greater than 3 minutes up to 10 minutes"
G0376,"Smoking and tobacco use cessation counseling visit; intensive, greater than 10 minutes"
G0377,Administration of vaccine for part d drug
G0392,"Transluminal balloon angioplasty, percutaneous; for maintenance of hemodialysis access, arteriovenous fistula or graft; arterial"
G0393,"Transluminal balloon angioplasty, percutaneous; for maintenance of hemodialysis access, arteriovenous fistula or graft; venous"
G0394,"Blood occult test (e.g., guaiac), feces, for single determination for colorectal neoplasm (i.e., patient was provided three cards or single triple card for consecutive collection)"
G0430,"Drug screen, qualitative; multiple drug classes other than chromatographic method,  each procedure"
G0440,"Application of tissue cultured allogeneic skin substitute or dermal substitute; for use on lower limb, includes the site preparation and debridement if performed; first 25 sq cm or less"
G0441,"Application of tissue cultured allogeneic skin substitute or dermal substitute; for use on lower limb, includes the site preparation and debridement if performed; each additional 25 sq cm"
G0449,"Annual face-to-face obesity screening, 15 minutes"
G0450,"Screening for sexually transmitted infections, includes laboratory tests for chlamydia, gonorrhea, syphilis and hepatitis b"
G0911,Assessed level of activity and symptoms
G0912,Level of activity and symptoms not assessed
G8006,Acute myocardial infarction: patient documented to have received aspirin at arrival
G8007,Acute myocardial infarction: patient not documented to have received aspirin at arrival
G8008,Clinician documented that acute myocardial infarction patient was not an eligible candidate to receive aspirin at arrival measure
G8009,Acute myocardial infarction: patient documented to have received beta-blocker at arrival
G8010,Acute myocardial infarction: patient not documented to have received beta-blocker at arrival
G8011,Clinician documented that acute myocardial infarction patient was not an eligible candidate for beta-blocker at arrival measure
G8012,Pneumonia: patient documented to have received antibiotic within 4 hours of presentation
G8013,Pneumonia: patient not documented to have received antibiotic within 4 hours of presentation
G8014,Clinician documented that pneumonia patient was not an eligible candidate for antibiotic within 4 hours of presentation measure
G8015,Diabetic patient with most recent hemoglobin a1c level (within the last 6 months) documented as greater than 9%
G8016,Diabetic patient with most recent hemoglobin a1c level (within the last 6 months) documented as less than or equal to 9%
G8017,Clinician documented that diabetic patient was not eligible candidate for hemoglobin a1c measure
G8018,Clinician has not provided care for the diabetic patient for the required time for hemoglobin a1c measure (6 months)
G8019,Diabetic patient with most recent low-density lipoprotein (within the last 12 months) documented as greater than or equal to 100 mg/dl
G8020,Diabetic patient with most recent low-density lipoprotein (within the last 12 months) documented as less than 100 mg/dl
G8021,Clinician documented that diabetic patient was not eligible candidate for low-density lipoprotein measure
G8022,Clinician has not provided care for the diabetic patient for the required time for low-density lipoprotein measure (12 months)
G8023,Diabetic patient with most recent blood pressure (within the last 6 months) documented as equal to or greater than 140 systolic or equal to or greater than 80 mmhg diastolic
G8024,Diabetic patient with most recent blood pressure (within the last 6 months) documented as less than 140 systolic and less than 80 diastolic
G8025,Clinician documented that the diabetic patient was not eligible candidate for blood pressure measure
G8026,Clinician has not provided care for the diabetic patient for the required time for blood pressure measure (within the last 6 months)
G8027,Heart failure patient with left ventricular systolic dysfunction (LVSD) documented to be on either angiotensin-converting enzyme inhibitor or angiotensin-receptor blocker (ace-i or arb) therapy
G8028,Heart failure patient with left ventricular systolic dysfunction (LVSD) not documented to be on either angiotensin-converting enzyme inhibitor or angiotensin-receptor blocker (ace-i or arb) therapy
G8029,Clinician documented that heart failure patient was not an eligible candidate for either angiotensin-converting enzyme inhibitor or angiotensin-receptor blocker (ace-i or arb) therapy measure
G8030,Heart failure patient with left ventricular systolic dysfunction (LVSD) documented to be on beta-blocker therapy
G8031,Heart failure patient with left ventricular systolic dysfunction (LVSD) not documented to be on beta-blocker therapy
G8032,Clinician documented that heart failure patient was not eligible candidate for beta-blocker therapy measure
G8033,Prior myocardial infarction - coronary artery disease patient documented to be on beta-blocker therapy
G8034,Prior myocardial infarction - coronary artery disease patient not documented to be on beta-blocker therapy
G8035,Clinician documented that prior myocardial infarction - coronary artery disease patient was not eligible candidate for beta-blocker therapy measure
G8036,Coronary artery disease patient documented to be on antiplatelet therapy
G8037,Coronary artery disease patient not documented to be on antiplatelet therapy
G8038,Clinician documented that coronary artery disease patient was not eligible candidate for antiplatelet therapy measure
G8039,Coronary artery disease - patient with low-density lipoprotein documented to be greater than 100mg/dl
G8040,Coronary artery disease - patient with low-density lipoprotein documented to be less than or equal to 100mg/dl
G8041,Clinician documented that coronary artery disease patient was not eligible candidate for low-density lipoprotein measure
G8051,Patient (FEMALE) documented to have been assessed for osteoporosis
G8052,Patient (FEMALE) not documented to have been assessed for osteoporosis
G8053,Clinician documented that (FEMALE) patient was not an eligible candidate for osteoporosis assessment measure
G8054,Patient not documented for the assessment for falls within last 12 months
G8055,Patient documented for the assessment for falls within last 12 months
G8056,Clinician documented that patient was not an eligible candidate for the falls assessment measure within the last 12 months
G8057,Patient documented to have received hearing assessment
G8058,Patient not documented to have received hearing assessment
G8059,Clinician documented that patient was not an eligible candidate for hearing assessment measure
G8060,Patient documented for the assessment of urinary incontinence
G8061,Patient not documented for the assessment of urinary incontinence
G8062,Clinician documented that patient was not an eligible candidate for urinary incontinence assessment measure
G8075,End stage renal disease patient with documented dialysis dose of urr greater than or equal to 65% (or kt/v greater than or equal to 1.2)
G8076,End stage renal disease patient with documented dialysis dose of urr less than 65% (or kt/v less than 1.2)
G8077,Clinician documented that end stage renal disease patient was not an eligible candidate for urr or kt/v measure
G8078,End stage renal disease patient with documented hematocrit greater than or equal to 33 (or hemoglobin greater than or equal to 11)
G8079,End stage renal disease patient with documented hematocrit less than 33 (or hemoglobin less than 11)
G8080,Clinician documented that end stage renal disease patient was not an eligible candidate for hematocrit (HEMOGLOBIN) measure
G8081,End stage renal disease patient requiring hemodialysis vascular access documented to have received autogenous av fistula
G8082,End stage renal disease patient requiring hemodialysis documented to have received vascular access other than autogenous av fistula
G8085,End-stage renal disease patient requiring hemodialysis vascular access was not an eligible candidate for autogenous av fistula
G8093,"Newly diagnosed chronic obstructive pulmonary disease (COPD) patient documented to have received smoking cessation intervention, within 3 months of diagnosis"
G8094,"Newly diagnosed chronic obstructive pulmonary disease (COPD) patient not documented to have received smoking cessation intervention, within 3 months of diagnosis"
G8099,Osteoporosis patient documented to have been prescribed calcium and vitamin d supplements
G8100,Clinician documented that osteoporosis patient was not an eligible candidate for calcium and vitamin d supplement measure
G8103,Newly diagnosed osteoporosis patients documented to have been treated with antiresorptive therapy and/or pth within 3 months of diagnosis
G8104,Clinician documented that newly diagnosed osteoporosis patient was not an eligible candidate for antiresorptive therapy and/or pth treatment measure within 3 months of diagnosis
G8106,"Within 6 months of suffering a nontraumatic fracture, female patient 65 years of age or older documented to have undergone bone mineral density testing or to have been prescribed a drug to treat or prevent osteoporosis"
G8107,Clinician documented that female patient 65 years of age or older who suffered a nontraumatic fracture within the last 6 months was not an eligible candidate for measure to test bone mineral density or drug to treat or prevent osteoporosis
G8108,Patient documented to have received influenza vaccination during influenza season
G8109,Patient not documented to have received influenza vaccination during influenza season
G8110,Clinician documented that patient was not an eligible candidate for influenza vaccination measure
G8111,Patient (FEMALE) documented to have received a mammogram during the measurement year or prior year to the measurement year
G8112,Patient (FEMALE) not documented to have received a mammogram during the measurement year or prior year to the measurement year
G8113,Clinician documented that female patient was not an eligible candidate for mammography measure
G8114,"Clinician did not provide care to patient for the required time of mammography measure (i.e., measurement year or prior year)"
G8115,Patient documented to have received pneumococcal vaccination
G8116,Patient not documented to have received pneumococcal vaccination
G8117,Clinician documented that patient was not an eligible candidate for pneumococcal vaccination measure
G8129,Patient documented as being treated with antidepressant medication for at least 6 months continuous treatment phase
G8130,Patient not documented as being treated with antidepressant medication for at least 6 months continuous treatment phase
G8131,Clinician documented that patient was not an eligible candidate for antidepressant medication for continuous treatment phase
G8152,Patient documented to have received antibiotic prophylaxis one hour prior to incision time (two hours for vancomycin)
G8153,Patient not documented to have received antibiotic prophylaxis one hour prior to incision time (two hours for vancomycin)
G8154,Clinician documented that patient was not an eligible candidate for antibiotic prophylaxis one hour prior to incision time (two hours for vancomycin) measure
G8155,Patient with documented receipt of thromboembolism prophylaxis
G8156,Patient without documented receipt of thromboembolism prophylaxis
G8157,Clinician documented that patient was not an eligible candidate for thromboembolism prophylaxis measure
G8158,Patient documented to have received coronary artery bypass graft with use of internal mammary artery
G8159,Patient documented to have received coronary artery bypass graft without use of internal mammary artery
G8160,Clinician documented that patient was not an eligible candidate for coronary artery bypass graft with use of internal mammary artery measure
G8161,Patient with isolated coronary artery bypass graft documented to have received pre-operative beta-blockade
G8162,Patient with isolated coronary artery bypass graft not documented to have received pre-operative beta-blockade
G8163,Clinician documented that patient with isolated coronary artery bypass graft was not an eligible candidate for pre-operative beta-blockade measure
G8164,Patient with isolated coronary artery bypass graft documented to have prolonged intubation
G8165,Patient with isolated coronary artery bypass graft not documented to have prolonged intubation
G8166,Patient with isolated coronary artery bypass graft documented to have required surgical re-exploration
G8167,Patient with isolated coronary artery bypass graft did not require surgical re-exploration
G8170,Patient with isolated coronary artery bypass graft documented to have been discharged on aspirin or clopidogrel
G8171,Patient with isolated coronary artery bypass graft not documented to have been discharged on aspirin or clopidogrel
G8172,Clinician documented that patient with isolated coronary artery bypass graft was not an eligible candidate for antiplatelet therapy at discharge measure
G8182,Clinician has not provided care for the cardiac patient for the required time for low-density lipoprotein measure (6 months)
G8183,Patient with heart failure and atrial fibrillation documented to be on warfarin therapy
G8184,Clinician documented that patient with heart failure and atrial fibrillation was not an eligible candidate for warfarin therapy measure
G8185,Patients diagnosed with symptomatic osteoarthritis with documented annual assessment of function and pain
G8186,Clinician documented that symptomatic osteoarthritis patient was not an eligible candidate for annual assessment of function and pain measure
G8191,"Clinician documented to have given order for prophylactic antibiotic to be given within one hour (if vancomycin, two hours) prior to surgical incision (or start of procedure when no incision is required)"
G8192,"Clinician documented to have given the prophylactic antibiotic within one hour (if vancomycin, two hours) prior to the surgical incision (or start of procedure when no incision is required)"
G8193,"Clinician did not document that an order for prophylactic antibiotic to be given within one hour (if vancomycin, two hours) prior to surgical incision (or start of procedure when no incision is required) was given"
G8194,Clinician documented that patient was not an eligible candidate for prophylactic antibiotic
G8195,"Clinician documented to have given the prophylactic antibiotic within one hour (if vancomycin, two hours) prior to the surgical incision (or start of procedure when no incision is required)"
G8196,"Clinician did not document a prophylactic antibiotic was administered within one hour (if vancomycin, two hours) prior to surgical incision (or start of procedure when no incision is required)"
G8197,"Patient documented to have order for prophylactic antibiotic to be given within one hour (if vancomycin, two hours) prior to surgical incision (or start of procedure when no incision is required)"
G8198,Patient documented to have order for cefazolin or cefuroxime for antimicrobial prophylaxis
G8199,Clinician documented to have given cefazolin or cefuroxime for antimicrobial prophylaxis
G8200,Order for cefazolin or cefuroxime for antimicrobial prophylaxis not documented
G8201,Patient was not an eligible candidate for cefazolin or cefuroxime for antimicrobial prophylaxis
G8202,Clinician documented an order was given to discontinue prophylactic antibiotics within 24 hours of surgical end time
G8203,Clinician documented that prophylactic antibiotics were discontinued within 24 hours of surgical end time
G8204,Clinician did not document an order was given to discontinue prophylactic antibiotics within 24 hours of surgical end time
G8205,Clinician documented that patient was not an eligible candidate for prophylactic antibiotic discontinuation within 24 hours of surgical end time
G8206,Clinician documented that prophylactic antibiotic was given
G8207,Clinician documented an order was given to discontinue prophylactic antibiotics within 48 hours of surgical end time
G8208,Clinician documented that prophylactic antibiotics were discontinued within 48 hours of surgical end time
G8209,Clinician did not document an order was given to discontinue prophylactic antibiotics within 48 hours of surgical end time
G8210,Clinician documented patient was not an eligible candidate for discontinuation of prophylactic antibiotic discontinuation within 48 hours of surgical end time
G8211,Clinician documented that prophylactic antibiotic was given
G8212,Clinician documented an order was given for appropriate venous thromboembolism (VTE) prophylaxis to be given within 24 hrs prior to incision time or 24 hours after surgery end time
G8213,Clinician documented to have given vte prophylaxis within 24 hrs prior to incision time or 24 hours after surgery end time
G8214,Clinician did not document an order was given for appropriate venous thromboembolism (VTE) prophylaxis to be given within 24 hrs prior to incision time or 24 hours after surgery end time
G8215,Clinician documented that patient was not an eligible candidate for venous thromboembolism (VTE) prophylaxis to be given within 24 hours prior to incision time or 24 hours after surgery end time
G8216,Patient documented to have received dvt prophylaxis by end of hospital day two
G8217,Patient not documented to have received dvt prophylaxis by end of hospital day 2
G8218,"Patient was not an eligible candidate for dvt prophylaxis by end of hospital day 2, including physician documentation that patient is ambulatory"
G8219,Patient documented to have received dvt prophylaxis by end of hospital day 2
G8220,Patient not documented to have received dvt prophylaxis by end of hospital day 2
G8221,"Clinician documented that patient was not an eligible candidate for dvt prophylaxis by the end of hospital day 2, including physician documentation that patient is ambulatory"
G8222,Patient documented to have been prescribed antiplatelet therapy at discharge
G8223,Patient not documented to have received prescription for antiplatelet therapy at discharge
G8224,"Clinician documented that patient was not an eligible candidate for antiplatelet therapy at discharge, including identification from medical record that patient is on anticoagulation therapy"
G8225,Patient documented to have been prescribed an anticoagulant at discharge
G8226,Patient not documented to have received prescription for anticoagulant therapy at discharge
G8227,"Patient not documented to have permanent, persistent, or paroxysmal atrial fibrillation"
G8228,Clinician documented that patient was not an eligible candidate for anticoagulant therapy at discharge
G8229,Patient documented to have been administered or considered for t-pa
G8230,"Patient not eligible for t-pa administration, ischemic stroke symptom onset of more than 3 hours"
G8231,Patient not documented to have received t-pa or not documented to have been considered a candidate for t-pa administration
G8232,"Patient documented to have received dysphagia screening prior to taking any foods, fluids or medication by mouth"
G8234,Patient not documented to have received dysphagia screening
G8235,"Patient not receiving or ineligible to receive food, fluids or medication by mouth, or documentation of npo (nothing by mouth) order"
G8236,"Clinician documented that patient was not an eligible candidate for dysphagia screening prior to taking any foods, fluids or medication by mouth"
G8237,Patient documented to have received order for rehabilitation services or documentation of consideration for rehabilitation services
G8238,Patient not documented to have received order for or consideration for rehabilitation services
G8239,"Internal carotid stenosis patient below 30%, reference to measurements of distal internal carotid diameter as the denominator for stenosis measurement not necessary"
G8240,"Internal carotid stenosis patient in the 30-99% range, and no documentation of reference to measurements of distal internal carotid diameter as the denominator for stenosis measurement"
G8241,Pt inelig candidate ito meas
G8242,"Patient documented to have received ct or mri with presence or absence of hemorrhage, mass lesion and acute infarction documented in the final report"
G8243,"Patient not documented to have received ct or mri and the presence or absence of hemorrhage, mass lesion and acute infarction not documented in the final report"
G8245,Clinician documented presence or absence alarm symptoms
G8246,Patient was not an eligible candidate for medical history review with assessment of new or changing moles
G8247,Patient with alarm symptom(s) documented to have had upper endoscopy performed or referral for upper endoscopy
G8248,Patient with at least one alarm symptom not documented to have had upper endoscopy or referral for upper endoscopy
G8249,Clinician documented that patient was not an eligible candidate for upper endoscopy
G8250,Patient with suspicion of barrett's esophagus in endoscopy report and documented to have received an esophageal biopsy
G8251,Patient not documented to have received an esophageal biopsy when suspicion of barrett's esophagus is indicated in the endoscopy report
G8252,Clinician documented that patient was not an eligible candidate for esophageal biopsy
G8253,Patient documented to have received an order for a barium swallow test
G8254,Patient with no documentation order for barium swallow test
G8255,Clinician documentation that patient was an eligible candidate for barium swallow test
G8256,Clinician documented reconciliation of discharge medications with current medication list in medical record
G8257,Clinician has not documented reconciliation of discharge medications with current medication list in medical record
G8258,Patient was not an eligible candidate for discharge medications review
G8259,Patient documented to have surrogate decision maker or advance care plan in medical record
G8260,Patient not documented to have surrogate decision maker or advance care plan in medical record
G8261,Clinician documented that patient was not an eligible candidate for surrogate decision maker or advance care plan
G8262,Patient documented to have been assessed for presence or absence of urinary incontinence
G8263,Patient not documented to have been assessed for presence or absence of urinary incontinence
G8264,Clinician documented that patient was not an eligible candidate for an assessment of the presence or absence of urinary incontinence
G8265,Patient documented to have received characterization of urinary incontinence
G8266,Patient not documented to have received characterization of urinary incontinence
G8267,Patient documented to have received a plan of care for urinary incontinence
G8268,Patient not documented to have received plan of care for urinary incontinence
G8269,Clinician has not provided care for the patient for the required time to develop plan of care for urinary incontinence
G8270,Patient documented to have received screening for fall risk (2 or more falls in the past year or any fall with injury in the past year)
G8271,Patient with no documentation of screening for fall risks (2 or more falls in the past year or any fall with injury in the past year)
G8272,Clinician documentation that patient was not an eligible candidate for fall risk screening
G8273,Clinician has not provided care for the patient for the required time to screen for fall risk
G8274,Clinician has not documented presence or absence of alarm symptoms
G8275,Patient documented to have medical history taken which included assessment of new or changing moles
G8276,Patient not documented to have received medical history with assessment of new or changing moles
G8277,Patient was not an eligible candidate for medical history review with assessment of new or changing moles
G8278,Patient documented to have received complete physical skin exam
G8279,Patient not documented to have received a complete physical skin exam
G8280,Patient was not an eligible candidate for complete physical skin exam during the reporting year
G8281,Patient documented to have received counseling to perform a self-examination
G8282,Patient not documented to have received counseling to perform a self-examination
G8283,Patient was not an eligible candidate for counseling to perform self-examination
G8284,Patient documented to have received a prescription for pharmacologic therapy for osteoporosis
G8285,Patient not documented to have received pharmacologic therapy
G8286,Clinician documented that patient was not an eligible candidate for pharmacologic therapy
G8287,Clinician has not provided care for the patient for the required time for the pharmacologic therapy measure
G8288,"Patient documented to have received calcium and vitamin d or counseling on both calcium and vitamin d use, and exercise"
G8289,"Patient with no documentation of calcium and vitamin d use or counseling regarding both calcium and vitamin d use, or exercise"
G8290,"Clinician documentation that patient was not an eligible candidate for calcium and vitamin d, and exercise during the reporting year"
G8291,"Clinician has not provided care for the patient for the required time for the calcium, vitamin d, and exercise measure"
G8292,Copd patient with spirometry results documented
G8293,Copd patient without spirometry results documented
G8294,Copd patient was not eligible for spirometry results
G8295,Copd patient documented to have received inhaled bronchodilator therapy
G8296,Copd patient not documented to have inhaled bronchodilator therapy prescribed
G8297,Copd patient was not eligible for inhaled bronchodilator therapy
G8298,Patient documented to have received optic nerve head evaluation
G8299,Patient not documented to have received optic nerve head evaluation
G8300,Clinician documented that patient was not an eligible candidate for optic nerve head evaluation during the reporting year
G8301,Clinician has not provided care for the primary open-angle glaucoma patient for the required time for optic nerve head evaluation measure
G8302,Patient documented to have a specific target intraocular pressure range goal
G8303,Patient not documented to have a specific target intraocular pressure range goal
G8304,Clinician documented that patient was not an eligible candidate for a specific target intraocular pressure range goal
G8305,Clinician has not provided care for the primary open-angle glaucoma patient for the required time for treatment range goal documentation measurement
G8306,Primary open-angle glaucoma patient with intraocular pressure above the target range goal documented to have received plan of care
G8307,"Primary open-angle glaucoma patient with intraocular pressure at or below goal, no plan of care necessary"
G8308,"Primary open-angle glaucoma patient with intraocular pressure above the target range goal, and not documented to have received plan of care during the reporting year"
G8309,Patient documented to have been prescribed/recommended antioxidant vitamin or mineral supplement
G8310,Patient not documented to have been prescribed/recommended at least one antioxidant vitamin or mineral supplement during the reporting year
G8311,Clinician documentation that patient was not an eligible candidate for antioxidant vitamin or mineral supplement during the reporting year
G8312,Clinician has not provided care for the age-related macular degeneration patient for the required time for antioxidant supplement prescription/recommended measure
G8313,"Patient documented to have received macular exam, including documentation of the presence or absence of macular thickening or hemorrhage and the level of macular degeneration severity"
G8314,Patient not documented to have received macular exam with documentation of presence or absence of macular thickening or hemorrhage and no documentation of level of macular degeneration severity
G8315,Clinician documentation that patient was not an eligible candidate for macular examination during the reporting year
G8316,Clinician has not provided care for the age-related macular degeneration patient for the required time for macular examination measurement
G8317,Patient documented to have visual functional status assessed
G8318,Patient documented not to have visual functional status assessed
G8319,Clinician documented that patient was not an eligible candidate for assessment of visual functional status
G8320,Clinician has not provided care for the cataract patient for the required time for assessment of visual functional status measurement
G8321,"Patient documented to have had pre-surgical axial length, corneal power measurement and method of intraocular lens power calculation"
G8322,"Patient not documented to have had pre-surgical axial length, corneal power measurement and method of intraocular lens power calculation"
G8323,"Clinician documentation that patient was not an eligible candidate for pre-surgical axial length, corneal power measurement and method of intraocular lens power calculation"
