ICD9Code,ShortDescription
01195,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01202,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
01203,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
0131,Tuberculoma of meninges
01341,"Tuberculoma of spinal cord, bacteriological or histological examination not done"
01363,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy"
01560,"Tuberculosis of mastoid, unspecified"
0157,Tuberculosis of other specified bone
01604,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01642,"Tuberculosis of epididymis, bacteriological or histological examination unknown (at present)"
01646,"Tuberculosis of epididymis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01663,"Tuberculous oophoritis and salpingitis, tubercle bacilli found (in sputum) by microscopy"
01696,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01701,"Tuberculosis of skin and subcutaneous cellular tissue, bacteriological or histological examination not done"
01760,"Tuberculosis of adrenal glands, unspecified"
0203,Primary pneumonic plague
0219,Unspecified tularemia
0221,Pulmonary anthrax
002,Typhoid and paratyphoid fevers
0020,Typhoid fever
0040,Shigella dysenteriae
0041,Shigella flexneri
0072,Coccidiosis
00800,"Intestinal infection due to e. coli, unspecified"
0083,Intestinal infection due to proteus (MIRABILIS) (MORGANII)
00842,Intestinal infection due to pseudomonas
01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
01223,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
0123,Tuberculous laryngitis
01286,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01321,"Tuberculoma of brain, bacteriological or histological examination not done"
01343,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
01346,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01481,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
0150,Tuberculosis of vertebral column
01522,"Tuberculosis of knee, bacteriological or histological examination unknown (at present)"
01576,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0159,Tuberculosis of unspecified bones and joints
016,Tuberculosis of genitourinary system
01605,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01622,"Tuberculosis of ureter, bacteriological or histological examination unknown (at present)"
0060,Acute amebic dysentery without mention of abscess
0062,Amebic nondysenteric colitis
0068,Amebic infection of other sites
007,Other protozoal intestinal diseases
00802,Intestinal infection due to enterotoxigenic e. coli
00865,Enteritis due to calicivirus
01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
0114,Tuberculous fibrosis of lung
0115,Tuberculous bronchiectasis
01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01282,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
01325,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01382,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
01383,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
014,Tuberculosis of intestines peritoneum and mesenteric glands
0148,Other tuberculosis of intestines peritoneum and mesenteric glands
01500,"Tuberculosis of vertebral column, unspecified"
01512,"Tuberculosis of hip, bacteriological or histological examination unknown (at present)"
0155,Tuberculosis of limb bones
01550,"Tuberculosis of limb bones, unspecified"
01403,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy"
01504,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01505,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01520,"Tuberculosis of knee, unspecified"
01523,"Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy"
01575,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01582,"Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)"
01584,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01623,"Tuberculosis of ureter, tubercle bacilli found (in sputum) by microscopy"
01634,"Tuberculosis of other urinary organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01662,"Tuberculous oophoritis and salpingitis, bacteriological or histological examination unknown (at present)"
01700,"Tuberculosis of skin and subcutaneous cellular tissue, unspecified"
01704,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01706,"Tuberculosis of skin and subcutaneous cellular tissue, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0172,Tuberculosis of peripheral lymph nodes
01723,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy"
01733,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy"
01734,"Tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01740,"Tuberculosis of ear, unspecified"
01743,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy"
01746,"Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01796,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
021,Tularemia
0231,Brucella abortus
0270,Listeriosis
0279,Unspecified zoonotic bacterial disease
0368,Other specified meningococcal infections
038,Septicemia
03819,Other staphylococcal septicemia
0230,Brucella melitensis
0311,Cutaneous diseases due to other mycobacteria
0319,Unspecified diseases due to mycobacteria
0329,"Diphtheria, unspecified"
03810,"Staphylococcal septicemia, unspecified"
0384,Septicemia due to other gram-negative organisms
0393,Cervicofacial actinomycotic infection
0394,Madura foot
04105,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group g"
04149,Other and unspecified escherichia coli [e. coli]
042,Human immunodeficiency virus [HIV] disease
04521,"Acute nonparalytic poliomyelitis, poliovirus type I"
0471,Meningitis due to echo virus
052,Chickenpox
05312,Postherpetic trigeminal neuralgia
054,Herpes simplex
0544,Herpes simplex with ophthalmic complications
05473,Herpes simplex otitis externa
05474,Herpes simplex myelitis
0591,Other parapoxvirus infections
05911,Bovine stomatitis
05920,"Yatapoxvirus infection, unspecified"
061,Dengue
0722,Mumps encephalitis
0727,Mumps with other specified complications
0742,Coxsackie carditis
07798,Unspecified diseases of conjunctiva due to chlamydiae
0780,Molluscum contagiosum
07819,Other specified viral warts
0791,Echo virus infection in conditions classified elsewhere and of unspecified site
0810,Murine (ENDEMIC) typhus
0360,Meningococcal meningitis
03640,"Meningococcal carditis, unspecified"
03844,Septicemia due to serratia
0389,Unspecified septicemia
0408,Other specified bacterial diseases
0416,Proteus (MIRABILIS) (MORGANII) infection in conditions classified elsewhere and of unspecified site
04503,"Acute paralytic poliomyelitis specified as bulbar, poliovirus type III"
04511,"Acute poliomyelitis with other paralysis, poliovirus type I"
04513,"Acute poliomyelitis with other paralysis, poliovirus type III"
05102,Vaccinia not from vaccination
0527,Chickenpox with other specified complications
05314,Herpes zoster myelitis
05320,Herpes zoster dermatitis of eyelid
05413,Herpetic infection of penis
05440,Herpes simplex with unspecified ophthalmic complication
058,Other human herpesvirus
0625,California virus encephalitis
0653,Other tick-borne hemorrhagic fever
07033,Chronic viral hepatitis b without mention of hepatic coma with hepatitis delta
07043,Hepatitis e with hepatic coma
07049,Other specified viral hepatitis with hepatic coma
072,Mumps
0720,Mumps orchitis
07279,Other mumps with other specified complications
0728,Mumps with unspecified complication
0729,Mumps without mention of complication
0739,"Ornithosis, unspecified"
0743,"Hand, foot, and mouth disease"
0773,Other adenoviral conjunctivitis
0794,Human papillomavirus in conditions classified elsewhere and of unspecified site
07959,Other specified retrovirus
01563,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy"
01614,"Tuberculosis of bladder, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01665,"Tuberculous oophoritis and salpingitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01674,"Tuberculosis of other female genital organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01692,"Genitourinary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
01695,"Genitourinary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01711,"Erythema nodosum with hypersensitivity reaction in tuberculosis, bacteriological or histological examination not done"
01716,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01730,"Tuberculosis of eye, unspecified"
01735,"Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01744,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01755,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
0176,Tuberculosis of adrenal glands
01762,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
0177,Tuberculosis of spleen
01786,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01795,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
018,Miliary tuberculosis
01805,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
0188,Other specified miliary tuberculosis
01880,"Other specified miliary tuberculosis, unspecified"
01884,"Other specified miliary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01885,"Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01892,"Miliary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
0208,Other specified types of plague
022,Anthrax
0321,Nasopharyngeal diphtheria
0328,Other specified diphtheria
033,Whooping cough
036,Meningococcal infection
03642,Meningococcal endocarditis
03812,Methicillin resistant staphylococcus aureus septicemia
01625,"Tuberculosis of ureter, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01636,"Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01652,"Tuberculosis of other male genital organs, bacteriological or histological examination unknown (at present)"
01675,"Tuberculosis of other female genital organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01731,"Tuberculosis of eye, bacteriological or histological examination not done"
01792,"Tuberculosis of other specified organs, bacteriological or histological examination unknown (at present)"
01806,"Acute miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
0222,Gastrointestinal anthrax
026,Rat-bite fever
0323,Laryngeal diphtheria
03283,Diphtheritic peritonitis
03682,Meningococcal arthropathy
03849,Other septicemia due to gram-negative organisms
0392,Abdominal actinomycotic infection
0400,Gas gangrene
04042,Wound botulism
04104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group d [ENTEROCOCCUS]"
04520,"Acute nonparalytic poliomyelitis, poliovirus, unspecified type"
04590,"Acute poliomyelitis, unspecified, poliovirus, unspecified type"
0528,Chickenpox with unspecified complication
05313,Postherpetic polyneuropathy
05371,Otitis externa due to herpes zoster
05449,Herpes simplex with other ophthalmic complications
05601,Encephalomyelitis due to rubella
0568,Rubella with unspecified complications
057,Other viral exanthemata
0578,Other specified viral exanthemata
05910,"Parapoxvirus infection, unspecified"
06642,West nile fever with other neurologic manifestation
0730,Ornithosis with pneumonia
04103,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group c"
0451,Acute poliomyelitis with other paralysis
0463,Progressive multifocal leukoencephalopathy
047,Meningitis due to enterovirus
05321,Herpes zoster keratoconjunctivitis
05411,Herpetic vulvovaginitis
05444,Herpes simplex iridocyclitis
0547,Herpes simplex with other specified complications
0548,Herpes simplex with unspecified complication
0549,Herpes simplex without mention of complication
0558,Measles with unspecified complication
05609,Rubella with other neurological complications
05812,Roseola infantum due to human herpesvirus 7
0609,"Yellow fever, unspecified"
062,Mosquito-borne viral encephalitis
0638,Other specified tick-borne viral encephalitis
0703,Viral hepatitis b without mention of hepatic coma
0760,"Trachoma, initial stage"
07810,"Viral warts, unspecified"
07881,Epidemic vertigo
0793,Rhinovirus infection in conditions classified elsewhere and of unspecified site
0864,Rhodesian trypanosomiasis
087,Relapsing fever
0888,Other specified arthropod-borne diseases
09181,Acute syphilitic meningitis (SECONDARY)
09323,Syphilitic endocarditis of tricuspid valve
094,Neurosyphilis
0940,Tabes dorsalis
0859,"Leishmaniasis, unspecified"
08882,Babesiosis
0906,"Late congenital syphilis, latent"
0913,Secondary syphilis of skin or mucous membranes
0932,Syphilitic endocarditis
0939,"Cardiovascular syphilis, unspecified"
0958,Other specified forms of late symptomatic syphilis
09830,"Chronic gonococcal infection of upper genitourinary tract, site unspecified"
09834,"Gonococcal seminal vesiculitis, chronic"
0984,Gonococcal infection of eye
09840,Gonococcal conjunctivitis (NEONATORUM)
1030,Primary lesions of pinta
1106,Deep seated dermatophytosis
1120,Candidiasis of mouth
1128,Candidiasis of other specified sites
114,Coccidioidomycosis
1170,Rhinosporidiosis
1177,Zygomycosis [phycomycosis or mucormycosis]
120,Schistosomiasis (BILHARZIASIS)
1222,Echinococcus granulosus infection of thyroid
1234,"Diphyllobothriasis, intestinal"
124,Trichinosis
1318,Trichomoniasis of other specified sites
1330,Scabies
1340,Myiasis
1374,Late effects of tuberculosis of other specified organs
1401,"Malignant neoplasm of lower lip, vermilion border"
1404,"Malignant neoplasm of lower lip, inner aspect"
1454,Malignant neoplasm of uvula
1459,"Malignant neoplasm of mouth, unspecified"
146,Malignant neoplasm of oropharynx
03840,"Septicemia due to gram-negative organism, unspecified"
0399,Actinomycotic infection of unspecified site
0461,Jakob-creutzfeldt disease
04619,Other and unspecified creutzfeldt-jakob disease
0468,Other specified slow virus infection of central nervous system
0490,Lymphocytic choriomeningitis
050,Smallpox
0509,"Smallpox, unspecified"
05319,Herpes zoster with other nervous system complications
05412,Herpetic ulceration of vulva
05821,Human herpesvirus 6 encephalitis
05829,Other human herpesvirus encephalitis
05881,Human herpesvirus 6 infection
059,Other poxvirus infections
060,Yellow fever
0601,Urban yellow fever
0629,"Mosquito-borne viral encephalitis, unspecified"
0631,Louping ill
064,Viral encephalitis transmitted by other and unspecified arthropods
0659,"Arthropod-borne hemorrhagic fever, unspecified"
0700,Viral hepatitis a with hepatic coma
07022,Chronic viral hepatitis b with hepatic coma without hepatitis delta
07051,Acute hepatitis c without mention of hepatic coma
07052,Hepatitis delta without mention of active hepatitis b disease or hepatic coma
0709,Unspecified viral hepatitis without mention of hepatic coma
0723,Mumps pancreatitis
074,Specific diseases due to coxsackie virus
078,Other diseases due to viruses and chlamydiae
07888,Other specified diseases due to chlamydiae
07950,"Retrovirus, unspecified"
07981,Hantavirus infection
0748,Other specified diseases due to coxsackie virus
075,Infectious mononucleosis
07811,Condyloma acuminatum
0792,Coxsackie virus infection in conditions classified elsewhere and of unspecified site
080,Louse-borne (EPIDEMIC) typhus
08240,"Ehrlichiosis, unspecified"
0838,Other specified rickettsioses
0841,Vivax malaria [benign tertian]
0849,Other pernicious complications of malaria
0865,"African trypanosomiasis, unspecified"
0869,"Trypanosomiasis, unspecified"
0903,Syphilitic interstitial keratitis
091,Early syphilis symptomatic
0919,Unspecified secondary syphilis
092,Early syphilis latent
0955,Syphilis of bone
09816,Gonococcal endometritis (ACUTE)
0985,Gonococcal infection of joint
09885,Other gonococcal heart disease
0991,Lymphogranuloma venereum
09952,"Other venereal diseases due to chlamydia trachomatis, anus and rectum"
11282,Candidal otitis externa
1141,Primary extrapulmonary coccidioidomycosis
1145,"Pulmonary coccidioidomycosis, unspecified"
1200,Schistosomiasis due to schistosoma haematobium
07989,Other specified viral infection
0812,Scrub typhus
0830,Q fever
0852,"Cutaneous leishmaniasis, asian desert"
09150,"Syphilitic uveitis, unspecified"
09189,Other forms of secondary syphilis
09482,Syphilitic parkinsonism
09489,Other specified neurosyphilis
0949,"Neurosyphilis, unspecified"
0951,Syphilis of lung
09835,"Gonococcal cervicitis, chronic"
09851,Gonococcal synovitis and tenosynovitis
0992,Granuloma inguinale
0999,"Venereal disease, unspecified"
103,Pinta
111,Dermatomycosis other and unspecified
1112,Tinea blanca
1119,"Dermatomycosis, unspecified"
112,Candidiasis
11283,Candidal meningitis
11590,"Histoplasmosis, unspecified, without mention of manifestation"
1171,Sporotrichosis
1173,Aspergillosis
1202,Schistosomiasis due to schistosoma japonicum
121,Other trematode infections
1212,Paragonimiasis
1231,Cysticercosis
1252,Loiasis
1310,Urogenital trichomoniasis
0957,"Syphilis of synovium, tendon, and bursa"
098,Gonococcal infections
09837,Gonococcal salpingitis (CHRONIC)
09842,Gonococcal endophthalmia
09852,Gonococcal bursitis
0986,Gonococcal infection of pharynx
09884,Gonococcal endocarditis
099,Other venereal diseases
101,Vincent's angina
104,Other spirochetal infection
1122,Candidiasis of other urogenital sites
11503,"Infection by histoplasma capsulatum, pericarditis"
1215,Metagonimiasis
1216,Heterophyiasis
1239,"Cestode infection, unspecified"
1303,Myocarditis due to toxoplasmosis
1349,"Infestation, unspecified"
135,Sarcoidosis
1403,"Malignant neoplasm of upper lip, inner aspect"
1413,Malignant neoplasm of ventral surface of tongue
143,Malignant neoplasm of gum
1448,Malignant neoplasm of other sites of floor of mouth
1458,Malignant neoplasm of other specified parts of mouth
1467,Malignant neoplasm of posterior wall of oropharynx
1473,Malignant neoplasm of anterior wall of nasopharynx
1482,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"
1491,Malignant neoplasm of waldeyer's ring
153,Malignant neoplasm of colon
1530,Malignant neoplasm of hepatic flexure
1571,Malignant neoplasm of body of pancreas
1642,Malignant neoplasm of anterior mediastinum
1715,Malignant neoplasm of connective and other soft tissue of abdomen
17300,Unspecified malignant neoplasm of skin of lip
17312,"Squamous cell carcinoma of eyelid, including canthus"
17371,"Basal cell carcinoma of skin of lower limb, including hip"
17392,"Squamous cell carcinoma of skin, site unspecified"
174,Malignant neoplasm of female breast
1832,Malignant neoplasm of fallopian tube
1839,"Malignant neoplasm of uterine adnexa, unspecified site"
1876,Malignant neoplasm of spermatic cord
1898,Malignant neoplasm of other specified sites of urinary organs
191,Malignant neoplasm of brain
1912,Malignant neoplasm of temporal lobe
192,Malignant neoplasm of other and unspecified parts of nervous system
1921,Malignant neoplasm of cerebral meninges
1943,Malignant neoplasm of pituitary gland and craniopharyngeal duct
1946,Malignant neoplasm of aortic body and other paraganglia
1953,Malignant neoplasm of pelvis
1961,Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
1978,Secondary malignant neoplasm of other digestive organs and spleen
1988,Secondary malignant neoplasm of other specified sites
1990,Disseminated malignant neoplasm without specification of site
20000,"Reticulosarcoma, unspecified site, extranodal and solid organ sites"
20024,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb"
20043,"Mantle cell lymphoma, intra-abdominal lymph nodes"
20067,"Anaplastic large cell lymphoma, spleen"
20080,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
20102,"Hodgkin's paragranuloma, intrathoracic lymph nodes"
20110,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites"
20140,"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites"
1372,Late effects of genitourinary tuberculosis
1430,Malignant neoplasm of upper gum
1468,Malignant neoplasm of other specified sites of oropharynx
1551,Malignant neoplasm of intrahepatic bile ducts
1589,"Malignant neoplasm of peritoneum, unspecified"
1602,Malignant neoplasm of maxillary sinus
164,Malignant neoplasm of thymus heart and mediastinum
1704,Malignant neoplasm of scapula and long bones of upper limb
1709,"Malignant neoplasm of bone and articular cartilage, site unspecified"
1716,Malignant neoplasm of connective and other soft tissue of pelvis
17330,Unspecified malignant neoplasm of skin of other and unspecified parts of face
1735,Other and unspecified malignant neoplasm of skin of trunk except scrotum
1737,Other and unspecified malignant neoplasm of skin of lower limb including hip
1741,Malignant neoplasm of central portion of female breast
1745,Malignant neoplasm of lower-outer quadrant of female breast
1833,Malignant neoplasm of broad ligament of uterus
1874,"Malignant neoplasm of penis, part unspecified"
1899,"Malignant neoplasm of urinary organ, site unspecified"
1909,"Malignant neoplasm of eye, part unspecified"
1950,"Malignant neoplasm of head, face, and neck"
1974,Secondary malignant neoplasm of small intestine including duodenum
198,Secondary malignant neoplasm of other specified sites
1985,Secondary malignant neoplasm of bone and bone marrow
1987,Secondary malignant neoplasm of adrenal gland
20021,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck"
20072,"Large cell lymphoma, intrathoracic lymph nodes"
1213,Fascioliasis
1279,"Intestinal helminthiasis, unspecified"
1281,Gnathostomiasis
13103,Trichomonal prostatitis
1364,Psorospermiasis
1420,Malignant neoplasm of parotid gland
1472,Malignant neoplasm of lateral wall of nasopharynx
149,Malignant neoplasm of other and ill-defined sites within the lip oral cavity and pharynx
1500,Malignant neoplasm of cervical esophagus
1623,"Malignant neoplasm of upper lobe, bronchus or lung"
1641,Malignant neoplasm of heart
1650,"Malignant neoplasm of upper respiratory tract, part unspecified"
1659,Malignant neoplasm of ill-defined sites within the respiratory system
1703,"Malignant neoplasm of ribs, sternum, and clavicle"
1718,Malignant neoplasm of other specified sites of connective and other soft tissue
1722,Malignant melanoma of skin of ear and external auditory canal
17341,Basal cell carcinoma of scalp and skin of neck
17361,"Basal cell carcinoma of skin of upper limb, including shoulder"
1738,Other and unspecified malignant neoplasm of other specified sites of skin
17381,Basal cell carcinoma of other specified sites of skin
180,Malignant neoplasm of cervix uteri
0842,Quartan malaria
0909,"Congenital syphilis, unspecified"
09152,Syphilitic iridocyclitis (SECONDARY)
0929,"Early syphilis, latent, unspecified"
0941,General paresis
09481,Syphilitic encephalitis
09883,Gonococcal pericarditis
0995,Other venereal diseases due to chlamydia trachomatis
10089,Other specified leptospiral infections
1009,"Leptospirosis, unspecified"
1021,Multiple papillomata due to yaws and wet crab yaws
1032,Late lesions of pinta
1104,Dermatophytosis of foot
1140,Primary coccidioidomycosis (PULMONARY)
11502,"Infection by histoplasma capsulatum, retinitis"
11512,"Infection by histoplasma duboisii, retinitis"
11595,"Histoplasmosis, unspecified, pneumonia"
1160,Blastomycosis
1218,Other specified trematode infections
1221,Echinococcus granulosus infection of lung
1227,"Echinococcus multilocularis infection, unspecified"
